epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,37608.5,0.48975,0.50179,1.01513,0.83975,0.8135,0.88065,0.76305,0.58793,0.62905,0.95951,0.000449882,0.000449882,0.000449882
59,38194.2,0.49252,0.50287,1.01176,0.90156,0.81424,0.89165,0.7589,0.58871,0.63373,0.96589,0.000470511,0.000470511,0.000470511
61,38224.3,0.489,0.49022,1.00403,0.88277,0.81809,0.88564,0.75797,0.58099,0.61262,0.94791,0.000429253,0.000429253,0.000429253
60,38850.9,0.48975,0.50179,1.01513,0.83975,0.8135,0.88065,0.76305,0.58793,0.62905,0.95951,0.000449882,0.000449882,0.000449882
62,38857.8,0.46629,0.46834,0.99906,0.81725,0.85712,0.88495,0.76318,0.57795,0.61637,0.95683,0.000408623,0.000408623,0.000408623
61,39485.1,0.489,0.49022,1.00403,0.88277,0.81809,0.88564,0.75797,0.58099,0.61262,0.94791,0.000429253,0.000429253,0.000429253
63,39483.5,0.47162,0.48595,1.00435,0.86276,0.83969,0.8934,0.7721,0.57328,0.61475,0.95627,0.000387994,0.000387994,0.000387994
62,40130.5,0.46629,0.46834,0.99906,0.81725,0.85712,0.88495,0.76318,0.57795,0.61637,0.95683,0.000408623,0.000408623,0.000408623
64,40107.3,0.47279,0.47554,1.00465,0.87536,0.82824,0.88398,0.76732,0.58877,0.61298,0.95957,0.000367365,0.000367365,0.000367365
63,40783.7,0.47162,0.48595,1.00435,0.86276,0.83969,0.8934,0.7721,0.57328,0.61475,0.95627,0.000387994,0.000387994,0.000387994
65,40729.4,0.47239,0.47419,0.99979,0.86483,0.81489,0.87868,0.76288,0.55867,0.63469,0.9365,0.000346736,0.000346736,0.000346736
64,41432.9,0.47279,0.47554,1.00465,0.87536,0.82824,0.88398,0.76732,0.58877,0.61298,0.95957,0.000367365,0.000367365,0.000367365
66,41358,0.46243,0.47165,0.99654,0.90785,0.81871,0.89901,0.77687,0.5558,0.57293,0.94079,0.000326107,0.000326107,0.000326107
65,42073.6,0.47239,0.47419,0.99979,0.86483,0.81489,0.87868,0.76288,0.55867,0.63469,0.9365,0.000346736,0.000346736,0.000346736
67,41981.4,0.45662,0.46448,0.9968,0.85365,0.85115,0.89597,0.77486,0.56034,0.59947,0.94175,0.000305478,0.000305478,0.000305478
66,42735.2,0.46243,0.47165,0.99654,0.90785,0.81871,0.89901,0.77687,0.5558,0.57293,0.94079,0.000326107,0.000326107,0.000326107
68,42610.3,0.44998,0.45655,0.99283,0.90686,0.81679,0.90335,0.78054,0.56287,0.60604,0.93924,0.000284849,0.000284849,0.000284849
67,43383.6,0.45662,0.46448,0.9968,0.85365,0.85115,0.89597,0.77486,0.56034,0.59947,0.94175,0.000305478,0.000305478,0.000305478
69,43234.2,0.44556,0.45003,0.98472,0.87719,0.81975,0.88522,0.76493,0.5564,0.62528,0.93026,0.00026422,0.00026422,0.00026422
68,44042.2,0.44998,0.45655,0.99283,0.90686,0.81679,0.90335,0.78054,0.56287,0.60604,0.93924,0.000284849,0.000284849,0.000284849
70,43858.3,0.4454,0.4494,0.98591,0.8432,0.83619,0.88555,0.76942,0.56183,0.60329,0.94146,0.00024359,0.00024359,0.00024359
69,44700,0.44556,0.45003,0.98472,0.87719,0.81975,0.88522,0.76493,0.5564,0.62528,0.93026,0.00026422,0.00026422,0.00026422
71,44482.3,0.4269,0.4318,0.98285,0.86115,0.8187,0.88352,0.7621,0.57821,0.5902,0.95289,0.000222961,0.000222961,0.000222961
70,45362.7,0.4454,0.4494,0.98591,0.8432,0.83619,0.88555,0.76942,0.56183,0.60329,0.94146,0.00024359,0.00024359,0.00024359
72,45105.6,0.40079,0.37881,0.96479,0.85684,0.80153,0.87392,0.7612,0.57044,0.61941,0.94003,0.000202332,0.000202332,0.000202332
71,46017,0.4269,0.4318,0.98285,0.86115,0.8187,0.88352,0.7621,0.57821,0.5902,0.95289,0.000222961,0.000222961,0.000222961
73,45728.6,0.39192,0.36613,0.95327,0.85904,0.81679,0.88497,0.78095,0.54252,0.58372,0.92599,0.000181703,0.000181703,0.000181703
72,46671.3,0.40079,0.37881,0.96479,0.85684,0.80153,0.87392,0.7612,0.57044,0.61941,0.94003,0.000202332,0.000202332,0.000202332
74,46348.4,0.3749,0.36075,0.94352,0.86002,0.84413,0.89193,0.78287,0.55776,0.59176,0.92969,0.000161074,0.000161074,0.000161074
